Shape,Cut,Color,Clarity,Carat Weight,Length/Width Ratio,Depth %,Table %,Polish,Symmetry,Girdle,Culet,Length,Width,Height,Price,Type,Fluorescence
Heart,,D,VS1,2.1,1.13,55.1,62.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,7.92,8.93,4.92,3690,IGI Lab-Grown,
Marquise,,D,VVS1,2.01,2.0,62.8,58.0,Excellent,Excellent,Thick,,12.98,6.48,4.07,28770,GIA,
Radiant,,H,VVS2,1.05,1.25,62.2,67.0,Excellent,Very Good,Slightly Thick,,6.7,5.38,3.35,3330,GIA,
Radiant,,E,VS2,1.0,1.06,72.8,62.0,Excellent,Very Good,Thick,,5.62,5.31,3.87,3840,GIA,
Marquise,,G,VS2,1.0,1.92,59.0,61.0,Excellent,Excellent,Slightly Thick to Thick,,10.2,5.31,3.13,4800,GIA,
Marquise,,E,VS2,1.04,1.94,63.1,64.0,Excellent,Excellent,Slightly Thick to Thick,,10.23,5.27,3.33,6010,GIA,
Radiant,,G,VVS1,1.01,1.32,69.8,,,,,,,,,4080,GIA,
Radiant,,H,VS1,1.0,1.3,67.8,68.0,Excellent,Excellent,Thick to Very Thick,,6.55,5.03,3.41,3960,GIA,
Radiant,,H,VS2,1.0,1.3,67.9,65.0,Excellent,Excellent,Medium to Thick,,6.66,5.12,3.48,3900,GIA,
,,,,,,,,,,,,,,,1210,IGI Lab-Grown,
Marquise,,D,VS1,1.1,1.96,63.2,58.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,10.6,5.41,3.42,1190,IGI Lab-Grown,
Heart,,F,VS1,1.65,1.13,55.3,62.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,7.32,8.28,4.58,2170,IGI Lab-Grown,
Radiant,,H,VS1,1.03,1.21,66.6,64.0,Excellent,Excellent,Medium to Slightly Thick,,6.44,5.31,3.54,3090,GIA,
Heart,,E,VS1,2.01,1.14,56.4,61.0,Excellent,Excellent,Slightly Thick,Pointed,7.7,8.79,4.96,3260,IGI Lab-Grown,
Oval,,E,VS1,1.04,1.51,64.1,60.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.37,5.54,3.55,1020,IGI Lab-Grown,
Radiant,,G,VS2,1.03,1.09,70.2,70.0,Very Good,Very Good,Thick,,5.73,5.27,3.7,3760,GIA,
Round,Very Good,H,VVS1,1.0,1.01,64.4,58.0,Excellent,Very Good,Thick,,6.14,6.22,3.98,3720,GIA,
Princess,Ideal,F,VS1,1.09,1.01,70.7,69.0,Excellent,Excellent,Medium,Pointed,5.64,5.59,3.95,1070,IGI Lab-Grown,
Heart,,D,VS1,1.01,1.2,59.9,62.0,Excellent,Very Good,Medium to Very Thick,,5.71,6.83,4.09,5750,GIA,Faint
Heart,,F,VVS2,1.05,1.13,56.9,57.0,Excellent,Excellent,Medium to Extremely Thick,,6.31,7.1,4.04,5600,GIA,
Marquise,,D,VS1,1.02,2.03,62.1,59.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,10.64,5.25,3.26,1110,IGI Lab-Grown,
Radiant,,G,VVS2,1.0,1.26,68.4,67.0,Excellent,Excellent,Slightly Thick,,6.3,5.01,3.43,4360,GIA,
Radiant,,F,VS1,1.0,1.35,70.0,67.0,Excellent,Excellent,Thick to Extremely Thick,,6.59,4.88,3.42,3690,GIA,
Marquise,,E,VVS1,1.0,1.8,65.9,60.0,Excellent,Very Good,Slightly Thick to Very Thick,,9.39,5.21,3.43,7100,GIA,
Round,Excellent,H,VS1,1.0,1.01,63.4,56.0,Excellent,Excellent,Medium to Slightly Thick,,6.3,6.35,4.01,3710,GIA,Medium
Princess,Very Good,H,VS1,1.01,1.04,75.6,70.0,Excellent,Good,Thin to Very Thick,,5.59,5.4,4.08,2710,GIA,
Round,Very Good,H,VS1,1.0,1.0,60.4,62.0,Excellent,Excellent,Slightly Thick,,6.41,6.43,3.88,4130,GIA,
Heart,,E,VS1,1.11,1.11,60.5,58.0,Excellent,Very Good,Medium to Thick,,6.42,7.11,4.3,5490,GIA,
Round,Ideal,D,VS1,1.51,1.0,61.1,56.0,Excellent,Excellent,Thin to Medium,Pointed,7.4,7.42,4.53,1770,IGI Lab-Grown,
Princess,Ideal,H,VVS1,1.05,1.01,70.7,73.0,Excellent,Excellent,Slightly Thick to Thick,,5.72,5.68,4.02,3340,GIA,Faint
Oval,,D,VS1,1.0,1.39,60.1,63.0,Excellent,Very Good,Thick to Very Thick,,7.83,5.65,3.39,4440,GIA,Faint
Round,Very Good,H,VS2,1.0,1.01,61.9,59.0,Excellent,Good,Slightly Thick to Thick,,6.28,6.35,3.9,3080,GIA,
Heart,,D,VS2,1.01,1.18,59.4,57.0,Excellent,Very Good,Thick to Very Thick,,5.94,7.0,4.16,4320,GIA,
Pear,,E,VS1,1.01,1.55,58.6,61.0,Excellent,Excellent,Medium to Thick,,8.88,5.72,3.36,4660,GIA,Faint
Pear,,E,VS1,1.09,1.59,61.3,59.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,9.23,5.79,3.55,1100,IGI Lab-Grown,
Heart,,E,VS1,1.6,1.15,55.9,58.0,Excellent,Excellent,Medium to Thick,Pointed,7.23,8.28,4.63,2170,IGI Lab-Grown,
Heart,,D,VVS2,1.01,1.17,58.5,61.0,Excellent,Very Good,Medium to Very Thick,,6.02,7.07,4.13,5790,GIA,
Pear,,F,VS2,1.09,1.63,64.9,61.0,Very Good,Very Good,Thick to Extremely Thick,,8.98,5.5,3.57,3830,GIA,Medium
Princess,Ideal,D,VS1,1.05,1.01,69.6,69.0,Excellent,Excellent,Medium,Pointed,5.57,5.5,3.83,1130,IGI Lab-Grown,
Princess,Ideal,F,VVS2,1.01,1.0,73.7,70.0,Excellent,Excellent,Slightly Thick to Thick,,5.37,5.35,3.95,3640,GIA,
Pear,,G,VS2,1.0,1.74,61.4,61.0,Excellent,Excellent,Slightly Thick to Very Thick,,9.41,5.4,3.31,3590,GIA,
Princess,Ideal,H,VVS1,1.01,1.01,71.4,71.0,Excellent,Very Good,Slightly Thick,,5.69,5.64,4.03,3030,GIA,
Emerald,,H,VVS1,1.0,1.33,65.8,69.0,Excellent,Very Good,Slightly Thick to Thick,,6.48,4.88,3.21,2610,GIA,
Marquise,,D,VVS2,1.0,1.85,62.6,62.0,Excellent,Excellent,Medium to Very Thick,,9.93,5.36,3.36,6610,GIA,Medium
Marquise,,D,VS1,1.05,1.96,63.5,59.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,10.37,5.29,3.36,1150,IGI Lab-Grown,
Pear,,E,VS1,1.0,1.5,63.3,57.0,Excellent,Very Good,Slightly Thick to Thick,,8.42,5.63,3.56,4930,GIA,
Heart,,H,VS2,1.01,1.18,56.9,61.0,Excellent,Excellent,Slightly Thick to Thick,,6.06,7.13,4.05,3550,GIA,
Cushion Modified,Ideal,D,VVS1,1.03,1.03,65.3,58.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,5.89,5.7,3.72,2490,IGI Lab-Grown,
Pear,,D,VS2,1.0,1.5,63.5,59.0,Excellent,Very Good,Medium to Very Thick,,8.41,5.59,3.55,3420,GIA,Medium
Princess,Ideal,G,VVS2,1.02,1.02,72.8,72.0,Excellent,Excellent,Slightly Thick to Thick,,5.54,5.44,3.96,3360,GIA,
Radiant,,H,VS2,1.01,1.12,67.9,75.0,Very Good,Good,Slightly Thick to Slightly Thick,,6.16,5.49,3.73,3970,GIA,Faint
Pear,,G,VS1,1.01,1.54,64.5,62.0,Excellent,Excellent,Thick to Very Thick,,8.54,5.56,3.59,4670,GIA,
Oval,,E,VS1,1.09,1.45,61.6,58.0,Excellent,Excellent,Thin to Slightly Thick,Pointed,8.39,5.8,3.57,1060,IGI Lab-Grown,
Marquise,,G,IF,1.57,2.03,59.3,61.0,Very Good,Very Good,Very Thin to Thick,,12.44,6.13,3.64,17100,GIA,
Heart,,G,VS1,1.01,1.18,58.9,60.0,Excellent,Very Good,Slightly Thick to Very Thick,,5.92,7.0,4.12,4060,GIA,
Pear,,E,VS1,1.02,1.58,63.1,59.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.8,5.56,3.51,1030,IGI Lab-Grown,
Radiant,,E,VS1,1.02,1.24,68.8,75.0,Very Good,Very Good,Medium to Slightly Thick,,6.55,5.27,3.62,5260,GIA,Faint
Princess,Ideal,G,VS1,1.01,1.01,70.4,74.0,Excellent,Very Good,Thin to Slightly Thick,,5.69,5.65,3.98,4180,GIA,
Round,Very Good,H,VVS2,1.03,1.01,63.9,59.0,Excellent,Very Good,Slightly Thick to Thick,,6.24,6.33,4.02,3950,GIA,
Heart,,D,VS1,1.01,1.11,59.3,55.0,Excellent,Very Good,Medium to Extremely Thick,,6.19,6.86,4.07,6550,GIA,
Heart,,F,VVS2,2.09,1.14,54.0,63.0,Excellent,Excellent,Slightly Thick to Thick,Pointed,8.01,9.11,4.92,3400,IGI Lab-Grown,
Princess,Ideal,H,VS2,1.01,1.02,72.4,74.0,Excellent,Very Good,Thick to Very Thick,,5.5,5.37,3.89,2620,GIA,
Heart,,H,VVS2,1.01,1.17,59.1,59.0,Excellent,Excellent,Thin to Thick,,6.0,7.01,4.15,3320,GIA,
Marquise,,E,VVS2,1.04,1.98,61.9,58.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,10.6,5.35,3.31,1230,IGI Lab-Grown,
Princess,Ideal,H,VVS1,1.04,1.0,71.3,68.0,Excellent,Excellent,Thick,,5.52,5.51,3.93,3360,GIA,
Radiant,,F,VVS2,1.05,1.25,65.9,66.0,Excellent,Excellent,Medium,Pointed,6.66,5.33,3.51,1160,IGI Lab-Grown,
Pear,,H,VS1,1.01,1.61,63.4,60.0,Excellent,Excellent,Medium to Thick,,8.89,5.53,3.51,4570,GIA,
Pear,,E,VS1,1.06,1.59,60.3,58.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,9.18,5.77,3.48,1070,IGI Lab-Grown,
Heart,,E,VS1,2.46,1.15,53.9,63.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.4,9.68,5.22,3850,IGI Lab-Grown,
Princess,Ideal,H,VS2,1.21,1.01,74.5,74.0,Excellent,Very Good,Thick to Very Thick,,5.71,5.66,4.22,3590,GIA,
Heart,,G,VS1,1.04,1.16,57.1,60.0,Excellent,Excellent,Slightly Thick to Thick,,6.18,7.14,4.07,3190,GIA,Strong
Princess,Ideal,D,VS1,1.0,1.02,73.3,67.0,Excellent,Excellent,Medium,Pointed,5.34,5.25,3.85,1080,IGI Lab-Grown,
Marquise,,E,VVS2,1.09,1.98,63.7,60.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,10.65,5.37,3.42,1280,IGI Lab-Grown,
Round,Excellent,H,VS1,1.0,1.01,63.7,56.0,Excellent,Excellent,Medium to Slightly Thick,,6.29,6.33,4.02,4140,GIA,
Princess,Ideal,E,VS1,1.01,1.01,71.4,71.0,Excellent,Excellent,Medium,,5.61,5.53,3.95,4210,GIA,
Oval,,D,VS1,1.0,1.39,63.9,59.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,7.81,5.62,3.59,1060,IGI Lab-Grown,
Marquise,,F,VS2,1.01,1.82,61.4,66.0,Excellent,Very Good,Slightly Thick to Very Thick,,9.82,5.4,3.31,5550,GIA,Medium
Oval,,F,VS1,1.03,1.41,62.0,62.0,Excellent,Excellent,Thin to Medium,Pointed,8.05,5.69,3.53,1030,IGI Lab-Grown,
Heart,,D,VS1,2.02,1.09,60.2,58.0,Excellent,Excellent,Thin to Medium,Pointed,7.89,8.59,5.17,3550,IGI Lab-Grown,
Heart,,D,VVS2,1.01,1.13,60.3,58.0,Excellent,Excellent,Medium to Very Thick,,6.06,6.85,4.13,4600,GIA,Faint
Radiant,,F,VS2,1.02,1.22,70.0,70.0,Very Good,Good,Slightly Thick to Thick,,6.18,5.07,3.55,3200,GIA,
Heart,,F,VS2,1.01,1.12,60.1,59.0,Excellent,Excellent,Slightly Thick to Thick,,6.2,6.95,4.18,3500,GIA,
Oval,,E,VS2,1.01,1.34,60.2,61.0,Excellent,Very Good,Medium to Very Thick,,7.67,5.71,3.44,4870,GIA,
Pear,,H,VVS1,1.0,1.54,57.6,62.0,Excellent,Excellent,Thick to Very Thick,,8.79,5.69,3.28,3560,GIA,Faint
Heart,,H,VS2,1.5,1.21,62.7,56.0,Excellent,Very Good,Medium to Very Thick,,6.41,7.74,4.85,6610,GIA,
Oval,,D,VS1,1.01,1.42,60.1,60.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.2,5.76,3.46,1070,IGI Lab-Grown,
Round,Excellent,H,VS2,1.01,1.01,62.5,56.0,Excellent,Excellent,Medium to Slightly Thick,,6.39,6.43,4.01,4010,GIA,Faint
Marquise,,D,VS2,2.01,1.85,64.6,,,,,,,,,22350,GIA,Medium
Pear,,D,VS2,1.04,1.5,63.4,59.0,Excellent,Excellent,Slightly Thick to Thick,,8.52,5.68,3.6,3900,GIA,Faint
Princess,Ideal,G,VS2,1.2,1.01,73.8,75.0,Excellent,Excellent,Slightly Thick to Thick,,5.8,5.77,4.26,4090,GIA,
Oval,,G,VS2,1.0,1.39,59.2,57.0,Excellent,Very Good,Thick to Very Thick,,7.92,5.68,3.36,4130,GIA,
Oval,,H,VS2,1.01,1.39,58.8,62.0,Excellent,Excellent,Slightly Thick to Thick,,7.98,5.75,3.38,3700,GIA,
Princess,Ideal,F,VVS2,1.09,1.02,73.8,70.0,Excellent,Excellent,Medium,Pointed,5.62,5.53,4.08,1210,IGI Lab-Grown,
Princess,Ideal,F,VVS2,1.0,1.05,73.7,68.0,Excellent,Excellent,Medium,Pointed,5.62,5.36,3.95,1120,IGI Lab-Grown,
Pear,,G,VVS1,1.01,1.53,61.1,57.0,Excellent,Excellent,Slightly Thick to Very Thick,,8.5,5.57,3.4,4310,GIA,
Marquise,,D,VS2,2.01,1.95,58.0,61.0,Excellent,Excellent,Slightly Thick to Thick,,13.01,6.66,3.86,24990,GIA,
Round,Very Good,H,VS1,1.0,1.01,64.7,58.0,Excellent,Excellent,Slightly Thick to Thick,,6.23,6.27,4.04,3340,GIA,Medium
Princess,Very Good,G,VVS2,1.01,1.02,72.7,77.0,Excellent,Very Good,Very Thick,,5.55,5.42,3.94,4070,GIA,
Oval,,E,VS1,1.05,1.46,63.3,59.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.26,5.67,3.59,1030,IGI Lab-Grown,
Marquise,,D,VS2,1.02,1.8,64.7,58.0,Excellent,Excellent,Thick to Very Thick,,9.56,5.32,3.44,5830,GIA,
Pear,,E,VS2,1.01,1.5,63.0,56.0,Excellent,Very Good,Thick to Very Thick,,8.42,5.6,3.53,3740,GIA,Medium
Marquise,,D,FL,2.01,2.27,61.5,56.0,Excellent,Very Good,Thick to Very Thick,,14.22,6.26,3.85,30660,GIA,
Pear,,H,VS1,1.0,1.71,64.0,55.0,Excellent,Very Good,Thick to Extremely Thick,,9.06,5.3,3.39,3320,GIA,Strong
Oval,,E,VS1,1.0,1.38,61.2,65.0,Very Good,Very Good,Thick to Very Thick,,7.72,5.61,3.44,3840,GIA,Strong
Round,Ideal,E,VS1,1.59,1.0,61.8,56.0,Excellent,Excellent,Medium,Pointed,7.49,7.52,4.64,1850,IGI Lab-Grown,
Oval,,D,VS2,1.0,1.36,65.9,61.0,Excellent,Excellent,Thick to Very Thick,,7.44,5.46,3.6,4170,GIA,Medium
Princess,Ideal,E,VVS2,1.02,1.0,73.8,67.0,Excellent,Excellent,Medium,Pointed,5.51,5.5,4.06,1190,IGI Lab-Grown,
Princess,Ideal,G,VS1,1.01,1.02,72.2,71.0,Excellent,Excellent,Medium to Thick,,5.54,5.44,3.93,3500,GIA,
Marquise,,G,VS1,1.5,1.9,61.8,61.0,Very Good,Very Good,Slightly Thick to Very Thick,,11.6,6.1,3.77,15790,GIA,
Radiant,,G,VS1,1.0,1.28,69.6,72.0,Excellent,Very Good,Very Thin to Thick,,6.36,4.96,3.45,5330,GIA,Medium
Pear,,D,VS1,1.03,1.61,62.7,60.0,Excellent,Very Good,Medium to Very Thick,,8.88,5.52,3.46,5010,GIA,
Princess,Ideal,D,VS1,1.11,1.01,72.7,74.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,5.64,5.57,4.05,1190,IGI Lab-Grown,
Heart,,G,VS1,1.79,1.19,60.2,59.0,Very Good,Excellent,Medium to Very Thick,,7.06,8.41,5.06,9790,GIA,Medium
Radiant,,F,VS2,1.01,1.28,68.6,67.0,Excellent,Excellent,Thick,,6.38,4.97,3.4,3810,GIA,
Heart,,D,IF,1.55,1.14,58.1,60.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,7.08,8.06,4.68,4610,IGI Lab-Grown,
Radiant,,H,IF,1.01,1.32,66.8,67.0,Excellent,Very Good,Medium to Slightly Thick,,6.88,5.23,3.49,4560,GIA,
Heart,,D,VS1,1.01,1.19,58.6,61.0,Excellent,Excellent,Slightly Thick to Very Thick,,5.87,6.99,4.1,4350,GIA,Faint
Pear,,G,VS1,1.0,1.75,59.0,63.0,Very Good,Good,Medium to Thick,,9.71,5.55,3.28,4980,GIA,
Oval,,E,VS1,1.07,1.44,60.5,62.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.43,5.85,3.54,1040,IGI Lab-Grown,
Princess,Ideal,G,VVS2,1.02,1.02,73.7,73.0,Excellent,Excellent,Slightly Thick to Thick,,5.57,5.47,4.04,3410,GIA,Faint
Oval,,F,VS2,1.0,1.38,63.0,59.0,Excellent,Excellent,Slightly Thick to Very Thick,,7.75,5.61,3.54,4390,GIA,
Round,Excellent,H,VS2,1.01,1.0,61.3,58.0,Excellent,Excellent,Medium to Slightly Thick,,6.44,6.47,3.96,3860,GIA,
Oval,,D,VS1,1.01,1.41,62.7,59.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,7.97,5.65,3.54,1070,IGI Lab-Grown,
Oval,,H,VS1,1.0,1.36,63.4,60.0,Excellent,Excellent,Slightly Thick to Very Thick,,7.66,5.63,3.57,1070,GIA,Faint
Marquise,,E,VS1,2.52,1.97,64.3,62.0,Good,Good,Medium to Extremely Thick,Very Small,13.7,6.97,4.49,38120,GIA,Faint
Pear,,F,VS1,1.0,1.52,62.0,62.0,Excellent,Excellent,Thick to Very Thick,,8.45,5.55,3.44,4870,GIA,
Pear,,G,VS1,1.0,1.46,65.9,59.0,Excellent,Very Good,Thin to Very Thick,,8.02,5.51,3.63,3500,GIA,Medium
Princess,Ideal,E,VVS2,1.01,1.0,73.1,65.0,Excellent,Excellent,Medium,Pointed,5.41,5.4,3.95,1180,IGI Lab-Grown,
Round,Ideal,E,VS1,1.58,1.01,61.3,57.0,Excellent,Excellent,Medium,Pointed,7.49,7.53,4.6,1840,IGI Lab-Grown,
Pear,,D,VS2,1.0,1.48,64.2,63.0,Excellent,Excellent,Slightly Thick to Very Thick,,8.22,5.57,3.58,3970,GIA,Faint
Princess,Ideal,G,VVS2,1.06,1.01,71.7,73.0,Excellent,Very Good,Slightly Thick to Thick,,5.77,5.72,4.1,3520,GIA,
Oval,,G,VS1,1.01,1.49,63.3,62.0,Excellent,Very Good,Slightly Thick to Very Thick,,8.08,5.42,3.43,4020,GIA,Medium
Round,Excellent,H,VS2,1.0,1.01,60.6,59.0,Excellent,Excellent,Slightly Thick,,6.41,6.45,3.9,4020,GIA,
Heart,,H,VS2,1.52,1.04,53.2,55.0,Very Good,Very Good,Medium to Very Thick,,7.48,7.76,4.13,9600,GIA,Faint
Round,Excellent,H,VS2,1.01,1.01,62.1,58.0,Excellent,Excellent,Medium to Slightly Thick,,6.41,6.45,3.99,4070,GIA,
Radiant,,E,VS1,1.09,1.47,64.4,65.0,Excellent,Excellent,Slightly Thick to Thick,Pointed,7.48,5.08,3.27,1080,IGI Lab-Grown,
Round,Excellent,H,VS2,1.0,1.01,62.8,57.0,Excellent,Excellent,Medium to Slightly Thick,,6.33,6.37,3.99,3974,GIA,
Princess,Ideal,G,VS2,1.09,1.01,71.9,70.0,Excellent,Very Good,Slightly Thick to Thick,,5.61,5.56,4.0,3100,GIA,Faint
Radiant,,F,VS1,1.22,1.49,66.7,64.0,Excellent,Excellent,Medium,Pointed,7.82,5.26,3.51,1160,IGI Lab-Grown,
Radiant,,G,VS2,1.01,1.22,69.5,62.0,Very Good,Good,Thick to Extremely Thick,,6.35,5.19,3.61,5320,GIA,
Marquise,,D,VS1,1.07,1.95,64.0,59.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,10.35,5.31,3.4,1170,IGI Lab-Grown,
Pear,,H,IF,1.02,1.76,63.2,68.0,Excellent,Excellent,Medium to Extremely Thick,,9.48,5.38,3.4,2830,GIA,Strong
Cushion,Ideal,E,VS1,3.55,1.02,65.2,63.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,9.11,8.96,5.84,7560,IGI Lab-Grown,
Oval,,E,VS1,1.0,1.36,64.0,55.0,Excellent,Very Good,Thick,,7.63,5.61,3.6,4480,GIA,Faint
Cushion,Ideal,E,VS1,1.62,1.02,64.2,63.5,Excellent,Excellent,Slightly Thick to Thick,Pointed,6.97,6.84,4.39,2140,IGI Lab-Grown,
Radiant,,F,VS1,1.17,1.43,67.4,65.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,7.42,5.19,3.5,1200,IGI Lab-Grown,
Pear,,F,VS1,1.01,1.5,63.1,62.0,Excellent,Excellent,Slightly Thick to Thick,,8.46,5.64,3.56,3590,GIA,Medium
Radiant,,E,VS2,1.01,1.32,68.0,66.0,Excellent,Excellent,Slightly Thick to Thick,,6.68,5.05,3.43,3520,GIA,Faint
Pear,,E,VVS1,1.01,1.67,57.1,61.0,Excellent,Excellent,Medium to Thick,,9.31,5.56,3.17,4240,GIA,Medium
Heart,,E,VS1,1.39,1.11,56.3,55.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,6.94,7.73,4.35,1470,IGI Lab-Grown,
Oval,,E,VS1,1.05,1.47,62.7,59.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.32,5.66,3.55,1030,IGI Lab-Grown,
Oval,,H,VS2,1.02,1.4,62.7,59.0,Excellent,Excellent,Medium to Thick,,7.88,5.63,3.53,3300,GIA,
Emerald,,G,VS2,1.01,1.36,68.7,70.0,Excellent,Excellent,Thick to Very Thick,,6.52,4.78,3.28,2730,GIA,
Cushion,Ideal,F,VS1,1.89,1.01,67.9,61.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,7.02,6.94,4.71,2540,IGI Lab-Grown,
Marquise,,F,VVS2,1.0,1.98,60.6,62.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,10.42,5.25,3.18,1420,IGI Lab-Grown,
Pear,,G,VS1,1.0,1.55,63.0,63.0,Excellent,Very Good,Slightly Thick to Very Thick,,8.48,5.47,3.44,4490,GIA,
Radiant,,E,VVS2,1.09,1.42,68.6,67.0,Excellent,Excellent,Thin,Pointed,7.43,5.25,3.6,1250,IGI Lab-Grown,
Emerald,,H,VS2,1.0,1.33,69.4,67.0,Excellent,Very Good,Very Thin to Thick,,6.33,4.77,3.31,2590,GIA,
Round,Very Good,H,VS2,1.01,1.01,63.8,59.0,Excellent,Excellent,Slightly Thick to Thick,,6.29,6.33,4.03,3930,GIA,Faint
Pear,,F,VS1,1.01,1.54,58.0,62.0,Excellent,Very Good,Slightly Thick to Very Thick,,8.68,5.63,3.26,3890,GIA,Medium
Oval,,H,VS2,1.01,1.59,61.9,,,,,,,,,3770,GIA,
Oval,,H,VS2,1.01,1.55,61.4,56.0,Excellent,Very Good,Slightly Thick to Very Thick,,8.31,5.37,3.3,3730,GIA,
Oval,,D,VS2,1.02,1.37,60.3,58.0,Very Good,Very Good,Slightly Thick to Thick,,7.89,5.75,3.47,4170,GIA,Faint
Radiant,,E,VS1,1.0,1.36,63.9,62.0,Excellent,Very Good,Slightly Thick to Very Thick,,6.74,4.95,3.17,4870,GIA,
Heart,,D,VS1,1.05,1.18,60.7,61.0,Excellent,Very Good,Slightly Thick to Very Thick,,5.99,7.08,4.3,5560,GIA,
Pear,,H,IF,1.01,1.54,62.2,62.0,Excellent,Excellent,Thick to Very Thick,,8.61,5.59,3.48,4620,GIA,
Heart,,D,VS1,2.58,1.14,54.4,59.0,Excellent,Excellent,Medium to Thick,Pointed,8.56,9.74,5.3,4670,IGI Lab-Grown,
Heart,,D,VS2,1.5,1.18,58.7,60.0,Excellent,Excellent,Medium to Thick,,6.83,8.04,4.72,9890,GIA,
Round,Excellent,H,VS2,1.0,1.01,62.7,56.0,Excellent,Excellent,Slightly Thick,,6.33,6.37,3.99,4120,GIA,
Marquise,,F,VS2,1.0,1.86,62.4,62.0,Excellent,Very Good,Medium to Very Thick,,9.8,5.27,3.29,5180,GIA,
Pear,,G,VS1,1.01,1.52,57.4,58.0,Excellent,Excellent,Slightly Thick to Very Thick,,8.67,5.7,3.27,4040,GIA,
Oval,,F,VS1,1.04,1.48,61.5,61.0,Excellent,Excellent,Thin to Medium,Pointed,8.42,5.69,3.5,1040,IGI Lab-Grown,
Princess,Ideal,E,VS1,1.05,1.01,70.7,71.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,5.53,5.47,3.87,1040,IGI Lab-Grown,
Marquise,,G,VS2,1.2,1.99,60.6,61.0,Excellent,Very Good,Medium to Thick,,11.18,5.62,3.41,7630,GIA,
Radiant,,D,VS1,1.05,1.42,68.6,65.0,Excellent,Excellent,Medium,Pointed,7.2,5.07,3.48,1170,IGI Lab-Grown,
Pear,,E,VS2,1.01,1.56,62.2,61.0,Excellent,Very Good,Slightly Thick to Very Thick,,8.68,5.56,3.46,4870,GIA,Faint
Marquise,,H,VS1,1.01,2.22,56.7,58.0,Excellent,Good,Very Thick to Extremely Thick,,11.21,5.06,2.87,3650,GIA,Faint
Pear,,E,VS1,1.0,1.5,62.1,63.0,Excellent,Excellent,Thin to Thick,,8.39,5.6,3.47,4100,GIA,Faint
Marquise,,F,VS1,1.0,1.85,61.6,61.0,Excellent,Very Good,Medium to Thick,,9.83,5.31,3.27,5340,GIA,Faint
Oval,,H,VS2,1.01,1.37,62.3,61.0,Excellent,Excellent,Thick to Very Thick,,7.65,5.58,3.48,3840,GIA,Faint
Round,Ideal,D,VS1,1.58,1.0,60.6,59.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,7.49,7.52,4.55,1850,IGI Lab-Grown,
Marquise,,E,VVS2,1.09,2.01,63.5,60.0,Excellent,Excellent,Slightly Thick,Pointed,10.68,5.32,3.38,1280,IGI Lab-Grown,
Princess,Ideal,D,VS1,1.03,1.01,72.4,71.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,5.48,5.44,3.94,1110,IGI Lab-Grown,
Radiant,Astor,G,VS2,1.05,1.25,68.1,64.0,Very Good,Very Good,Thick to Very Thick,,6.56,5.23,3.56,4600,GIA,Strong
Princess,Ideal,E,VS1,1.15,1.01,72.2,72.0,Excellent,Excellent,Medium,Pointed,5.75,5.71,4.12,1140,IGI Lab-Grown,
Heart,,G,VS2,1.0,1.06,59.7,59.0,Excellent,Very Good,Thick to Extremely Thick,,6.35,6.72,4.01,3380,GIA,
Heart,,G,VS1,1.2,1.07,55.4,64.0,Excellent,Excellent,Slightly Thick to Very Thick,,6.87,7.32,4.06,6720,GIA,Faint
Princess,Ideal,D,VS1,1.09,1.01,70.1,71.0,Excellent,Excellent,Medium,Pointed,5.63,5.56,3.9,1170,IGI Lab-Grown,
Round,Ideal,E,VS1,1.58,1.01,62.3,57.0,Excellent,Excellent,Medium,Pointed,7.39,7.45,4.63,1820,IGI Lab-Grown,
Princess,Ideal,F,VVS2,1.1,1.01,70.1,65.0,Excellent,Excellent,Medium,Pointed,5.79,5.75,4.03,1210,IGI Lab-Grown,
